dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc
bamboogle	gpt-5-1	pairwise_incremental	9	4	100	10	0.6923076923076923	0.47368421052631576	0.5625	0.8943089430894309	0.9090909090909091	0.8130081300813008	0.8861788617886179
bamboogle	gpt-5-1	pairwise_model_generated	10	10	94	9	0.5	0.5263157894736842	0.5128205128205129	0.8373983739837398	0.912621359223301	0.7642276422764228	0.8455284552845529
bamboogle	gpt-5-1	ensemble_pairwise_both	12	4	100	7	0.75	0.631578947368421	0.6857142857142857	0.8699186991869918	0.9345794392523364	0.8130081300813008	0.9105691056910569
bamboogle	gpt-5-1	ensemble_ays_pairwise_assistive	12	5	99	7	0.7058823529411765	0.631578947368421	0.6666666666666667	0.8617886178861789	0.9339622641509434	0.8048780487804879	0.9024390243902439
bamboogle	gpt-5-1	ensemble_ays_pairwise_incremental	10	5	99	9	0.6666666666666666	0.5263157894736842	0.5882352941176471	0.8780487804878049	0.9166666666666666	0.8048780487804879	0.8861788617886179
bamboogle	gpt-5-1	ensemble_idk_pairwise_assistive	13	5	99	6	0.7222222222222222	0.6842105263157895	0.7027027027027027	0.8536585365853658	0.9428571428571428	0.8048780487804879	0.9105691056910569
bamboogle	gpt-5-1	ensemble_idk_pairwise_incremental	12	7	97	7	0.631578947368421	0.631578947368421	0.631578947368421	0.8455284552845529	0.9326923076923077	0.7886178861788617	0.8861788617886179
bamboogle	gpt-5-1	ensemble_ays_idk_pairwise_assistive	13	8	96	6	0.6190476190476191	0.6842105263157895	0.6500000000000001	0.8292682926829268	0.9411764705882353	0.7804878048780488	0.8861788617886179
bamboogle	gpt-5-1	ensemble_ays_idk_pairwise_incremental	12	8	96	7	0.6	0.631578947368421	0.6153846153846154	0.8373983739837398	0.9320388349514563	0.7804878048780488	0.8780487804878049
bamboogle	gpt-5-1	ensemble_ays_idk_pairwise_both	13	8	96	6	0.6190476190476191	0.6842105263157895	0.6500000000000001	0.8292682926829268	0.9411764705882353	0.7804878048780488	0.8861788617886179
bamboogle	meta-llama-llama-3-1-8b-instruct	ays	48	4	23	48	0.9230769230769231	0.5	0.6486486486486487	0.5772357723577236	0.323943661971831	0.18699186991869918	0.5772357723577236
bamboogle	meta-llama-llama-3-1-8b-instruct	idk	5	1	25	92	0.8333333333333334	0.05154639175257732	0.0970873786407767	0.9512195121951219	0.21367521367521367	0.2032520325203252	0.24390243902439024
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_assistive	81	6	20	16	0.9310344827586207	0.8350515463917526	0.8804347826086957	0.2926829268292683	0.5555555555555556	0.16260162601626016	0.8211382113821138
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_incremental	67	5	21	30	0.9305555555555556	0.6907216494845361	0.7928994082840237	0.4146341463414634	0.4117647058823529	0.17073170731707318	0.7154471544715447
bamboogle	meta-llama-llama-3-1-8b-instruct	pairwise_model_generated	72	9	17	25	0.8888888888888888	0.7422680412371134	0.8089887640449438	0.34146341463414637	0.40476190476190477	0.13821138211382114	0.7235772357723578
bamboogle	meta-llama-llama-3-1-8b-instruct	self_consistency	7	0	26	90	1.0	0.07216494845360824	0.1346153846153846	0.943089430894309	0.22413793103448276	0.21138211382113822	0.2682926829268293
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_pairwise_both	88	7	19	9	0.9263157894736842	0.9072164948453608	0.9166666666666665	0.22764227642276422	0.6785714285714286	0.15447154471544716	0.8699186991869918
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_ays_pairwise_assistive	85	10	17	11	0.8947368421052632	0.8854166666666666	0.8900523560209423	0.22764227642276422	0.6071428571428571	0.13821138211382114	0.8292682926829268
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_ays_pairwise_incremental	81	8	19	15	0.9101123595505618	0.84375	0.8756756756756756	0.2764227642276423	0.5588235294117647	0.15447154471544716	0.8130081300813008
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_idk_pairwise_assistive	83	6	20	14	0.9325842696629213	0.8556701030927835	0.8924731182795699	0.2764227642276423	0.5882352941176471	0.16260162601626016	0.8373983739837398
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_idk_pairwise_incremental	70	5	21	27	0.9333333333333333	0.7216494845360825	0.8139534883720931	0.3902439024390244	0.4375	0.17073170731707318	0.7398373983739838
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_ays_idk_pairwise_assistive	85	10	17	11	0.8947368421052632	0.8854166666666666	0.8900523560209423	0.22764227642276422	0.6071428571428571	0.13821138211382114	0.8292682926829268
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_ays_idk_pairwise_incremental	81	8	19	15	0.9101123595505618	0.84375	0.8756756756756756	0.2764227642276423	0.5588235294117647	0.15447154471544716	0.8130081300813008
bamboogle	meta-llama-llama-3-1-8b-instruct	ensemble_ays_idk_pairwise_both	90	11	16	6	0.8910891089108911	0.9375	0.9137055837563451	0.17886178861788618	0.7272727272727273	0.13008130081300814	0.8617886178861789
bamboogle	meta-llama-llama-3-3-70b-instruct	ays	25	6	50	42	0.8064516129032258	0.373134328358209	0.5102040816326532	0.7479674796747967	0.5434782608695652	0.4065040650406504	0.6097560975609756
bamboogle	meta-llama-llama-3-3-70b-instruct	idk	24	9	47	43	0.7272727272727273	0.3582089552238806	0.48	0.7317073170731707	0.5222222222222223	0.3821138211382114	0.5772357723577236
